Male,Single,Age,amount_3month,max_amount_3month,min_amount_3month,distinct_payment_code_3month,count_payment_code_3month,distinct_trans_group_3month,distinct_ref_no_3month,Incredible
1,1,41.0,4.640000000000001,30.0,0.118,1.0,10.0,3.0,26.0,0
1,0,44.0,4.12,16.0,0.118,1.0,13.0,3.0,26.0,0
1,0,38.0,6.109999999999999,10.0,0.592,0.0,0.0,2.0,42.0,1
1,0,48.0,7.86,43.16,0.177,3.0,10.0,3.0,33.0,0
0,0,33.0,8.97,36.0,1.87,1.0,1.0,3.0,17.0,0
1,1,41.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0
1,1,29.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,27.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,0,35.0,7.91,25.0,1.1800000000000002,0.0,0.0,2.0,28.0,0
1,1,32.0,0.0947,1.26,0.532,0.0,0.0,1.0,2.0,0
1,1,37.0,1.92,9.6,0.177,1.0,1.0,3.0,8.0,0
1,1,19.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
0,0,48.0,0.107,1.12,1.49,0.0,0.0,2.0,2.0,0
0,1,25.0,0.0513,0.78,2.31,0.0,0.0,1.0,1.0,0
0,0,38.0,598.4431999999999,600.0,0.592,1.0,1.0,3.0,96.0,0
1,1,22.0,111.1206,567.846,8.870000000000001,0.0,0.0,2.0,12.0,0
1,0,35.0,46.9133,133.8455,0.0592,2.0,13.0,4.0,47.0,0
1,0,47.0,53.6762,200.0,0.237,2.0,9.0,4.0,55.0,0
1,0,28.0,25.1311,172.79999999999998,0.296,1.0,2.0,2.0,21.0,0
1,0,37.0,5.16,18.0,0.2009999999999999,1.0,2.0,3.0,20.0,0
1,0,42.0,488.8118,600.0,0.592,0.0,0.0,1.0,90.0,0
1,1,30.0,3.1300000000000003,10.0,0.592,0.0,0.0,2.0,25.0,0
1,0,57.0,2.78,17.0,0.0592,1.0,8.0,3.0,20.0,0
1,1,26.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,0,30.0,1014.5972,600.0,0.592,0.0,0.0,1.0,757.0,0
1,0,33.0,37.5674,310.0,2.96,1.0,2.0,3.0,22.0,1
1,1,29.0,1.7799999999999998,18.0,0.0592,1.0,3.0,2.0,6.0,0
1,1,32.0,104.9173,200.0,1.77,0.0,0.0,3.0,51.0,0
1,1,23.0,134.052,340.0,0.0592,0.0,0.0,3.0,115.0,0
0,0,28.0,18.1055,88.0,0.592,1.0,16.0,4.0,53.0,0
0,1,24.0,3.94,20.0,0.237,1.0,1.0,3.0,17.0,0
1,0,32.0,86.7217,1000.0,0.296,1.0,13.0,3.0,47.0,1
0,1,30.0,80.8526,201.1523,0.142,1.0,5.0,4.0,90.0,0
1,0,27.0,17.4415,100.0,0.118,1.0,9.0,4.0,24.0,1
0,1,23.0,0.984,2.8200000000000003,0.177,1.0,1.0,3.0,19.0,0
1,1,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,35.0,0.46,6.0,2.96,0.0,0.0,1.0,2.0,0
0,0,36.0,37.0324,140.0,0.0592,3.0,7.0,3.0,56.0,0
1,0,22.0,0.178,0.6,0.296,1.0,4.0,3.0,9.0,0
1,0,32.0,234.52820000000003,48.0,0.118,2.0,10.0,4.0,776.0,0
0,0,45.0,6.380000000000001,28.0,1.12,0.0,0.0,1.0,10.0,0
1,1,25.0,27.1434,55.99999999999999,0.592,0.0,0.0,1.0,42.0,0
1,0,35.0,6.3,38.24,0.592,1.0,8.0,2.0,14.0,0
1,1,24.0,6.7,11.0,0.296,1.0,6.0,5.0,60.0,1
0,0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,33.0,19.9876,68.0,0.592,1.0,1.0,3.0,22.0,0
1,0,45.0,77.3442,360.0,0.5499999999999999,1.0,1.0,4.0,20.0,0
0,0,31.0,0.618,2.0,0.177,1.0,4.0,3.0,18.0,0
1,0,36.0,1.71,26.0,76.9049,0.0,0.0,1.0,1.0,0
0,1,41.0,80.5298,200.0,2.07,1.0,1.0,3.0,40.0,0
0,0,31.0,3.05,13.2,0.187,4.0,8.0,3.0,30.0,0
1,0,36.0,180.4942,500.0,0.414,1.0,1.0,3.0,67.0,1
0,1,22.0,0.654,2.0,0.296,0.0,0.0,2.0,11.0,0
0,0,34.0,14.826999999999998,80.0,0.118,1.0,1.0,4.0,38.0,1
1,1,26.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,1,18.0,0.756,8.7,4.14,0.0,0.0,1.0,3.0,0
0,1,42.0,7.7,78.0,1.48,0.0,0.0,2.0,9.0,0
1,1,22.0,16.836,20.0,0.0592,1.0,11.0,4.0,108.0,0
1,1,49.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,0,32.0,2.06,4.0,0.177,1.0,1.0,3.0,23.0,1
1,1,28.0,0.1159999999999999,1.0,0.592,0.0,0.0,2.0,4.0,0
1,1,27.0,8.93,34.0,0.296,0.0,0.0,3.0,23.0,0
1,1,29.0,0.69,4.0,0.296,1.0,2.0,3.0,16.0,0
1,0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,0,50.0,6.89,20.0,0.296,1.0,7.0,3.0,31.0,1
1,1,24.0,3.17,5.5,0.0592,1.0,29.0,2.0,68.0,0
0,1,33.0,3.53,12.0,0.296,1.0,7.0,2.0,18.0,0
0,1,29.0,53.40670000000001,164.79999999999998,0.13,0.0,0.0,2.0,75.0,0
1,1,30.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
0,1,26.0,0.0526,0.6,0.592,1.0,1.0,3.0,3.0,0
1,0,31.0,98.9022,90.0,0.355,1.0,1.0,3.0,111.0,1
1,1,33.0,0.3289999999999999,3.8,0.592,0.0,0.0,2.0,9.0,0
1,1,34.0,2.44,13.999999999999998,0.219,1.0,2.0,3.0,17.0,0
0,1,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,1,24.0,113.2381,600.0,0.0592,3.0,42.0,6.0,221.0,0
1,1,22.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0
1,1,37.0,3.3300000000000005,13.999999999999998,1.1800000000000002,2.0,6.0,3.0,13.0,0
0,0,31.0,11.4045,20.0,0.118,0.0,0.0,3.0,60.0,0
1,1,23.0,9.59,90.0,0.118,1.0,4.0,2.0,20.0,0
1,0,29.0,72.1338,200.0,0.118,1.0,7.0,4.0,45.0,0
1,1,33.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
1,0,42.0,3.26,8.0,0.0592,2.0,12.0,3.0,27.0,0
1,0,48.0,0.964,6.999999999999999,1.1800000000000002,0.0,0.0,1.0,7.0,0
0,1,24.0,66.2693,100.0,0.0592,0.0,0.0,4.0,199.0,1
1,1,23.0,0.00657,0.0999999999999999,0.296,0.0,0.0,1.0,1.0,0
1,1,32.0,14.2503,59.99999999999999,0.296,1.0,1.0,4.0,31.0,0
1,1,42.0,1.26,19.2,56.7913,0.0,0.0,2.0,4.0,0
